iter	Passed	Remaining
671	1262	616
672	1263	614
673	1264	611
674	1265	609
675	1267	607
676	1269	605
677	1270	603
678	1272	601
679	1273	599
680	1274	596
681	1275	594
682	1276	592
683	1277	590
684	1278	587
685	1279	585
686	1280	583
687	1283	582
688	1285	580
689	1286	577
690	1287	575
691	1288	573
692	1289	571
693	1291	569
694	1292	567
695	1293	564
696	1294	562
697	1296	560
698	1297	558
699	1298	556
700	1299	554
701	1300	552
702	1302	550
703	1303	547
704	1304	545
705	1305	543
706	1306	541
707	1307	539
708	1308	537
709	1310	535
710	1311	533
711	1312	530
712	1313	528
713	1315	526
714	1316	524
715	1317	522
716	1318	520
717	1319	518
718	1320	516
719	1322	514
720	1323	512
721	1325	510
722	1327	508
723	1328	506
724	1329	504
725	1330	502
726	1331	500
727	1333	498
728	1335	496
729	1336	494
730	1338	492
731	1341	491
732	1343	489
733	1344	487
734	1346	485
735	1347	483
736	1348	481
737	1349	479
738	1350	477
739	1351	474
740	1353	472
741	1355	471
742	1356	469
743	1358	467
744	1360	465
745	1361	463
746	1362	461
747	1363	459
748	1364	457
749	1365	455
750	1366	453
751	1369	451
752	1371	449
753	1372	447
754	1373	445
755	1377	444
756	1378	442
757	1379	440
758	1381	438
759	1384	437
760	1386	435
761	1389	434
762	1391	432
763	1392	430
764	1395	428
765	1401	428
766	1402	426
767	1404	424
768	1405	422
769	1407	420
770	1408	418
771	1409	416
772	1410	414
773	1413	412
774	1415	411
775	1417	409
776	1418	407
777	1420	405
778	1421	403
779	1422	401
780	1424	399
781	1425	397
782	1427	395
783	1429	393
784	1430	391
785	1431	389
786	1433	387
787	1434	385
788	1435	383
789	1437	381
790	1438	379
791	1442	378
792	1443	376
793	1444	374
794	1446	373
795	1448	371
796	1450	369
797	1451	367
798	1453	365
799	1455	363
800	1456	361
801	1457	359
802	1459	358
803	1460	356
804	1461	354
805	1463	352
806	1464	350
807	1468	348
808	1469	346
809	1470	345
810	1472	343
811	1474	341
812	1475	339
813	1476	337
814	1477	335
815	1478	333
816	1481	331
817	1484	330
818	1485	328
819	1486	326
820	1488	324
821	1489	322
822	1490	320
823	1491	318
824	1492	316
825	1496	315
826	1498	313
827	1499	311
828	1500	309
829	1503	307
830	1504	305
831	1505	303
832	1506	302
833	1507	300
834	1511	298
835	1512	296
836	1514	294
837	1515	292
838	1518	291
839	1520	289
840	1521	287
841	1525	286
842	1527	284
843	1529	282
844	1532	281
845	1534	279
846	1535	277
847	1539	275
848	1541	274
849	1542	272
850	1544	270
851	1545	268
852	1546	266
853	1547	264
854	1548	262
855	1549	260
856	1551	258
857	1554	257
858	1555	255
859	1556	253
860	1557	251
861	1558	249
862	1560	247
863	1561	245
864	1562	243
865	1563	241
866	1564	240
867	1566	238
868	1568	236
869	1569	234
870	1570	232
871	1572	230
872	1573	228
873	1574	226
874	1575	225
875	1576	223
876	1580	221
877	1581	219
878	1583	217
879	1584	216
880	1586	214
881	1587	212
882	1588	210
883	1589	208
884	1590	206
885	1594	205
886	1595	203
887	1597	201
888	1599	199
889	1600	197
890	1601	195
891	1603	194
892	1604	192
893	1605	190
894	1609	188
895	1611	187
896	1612	185
897	1614	183
898	1615	181
899	1617	179
900	1618	177
901	1619	175
902	1621	174
903	1624	172
904	1625	170
905	1627	168
906	1628	167
907	1630	165
908	1631	163
909	1632	161
910	1633	159
911	1637	157
912	1639	156
913	1640	154
914	1642	152
915	1644	150
916	1645	148
917	1646	147
918	1647	145
919	1648	143
920	1653	141
921	1654	139
922	1655	138
923	1658	136
924	1660	134
925	1661	132
926	1662	130
927	1667	129
928	1669	127
929	1671	125
930	1672	123
931	1674	122
932	1675	120
933	1676	118
934	1677	116
935	1680	114
936	1682	113
937	1685	111
938	1688	109
939	1689	107
940	1690	106
941	1695	104
942	1696	102
943	1698	100
944	1699	98
945	1700	97
946	1701	95
947	1702	93
948	1703	91
949	1704	89
950	1705	87
951	1707	86
952	1709	84
953	1711	82
954	1712	80
955	1713	78
956	1714	77
957	1715	75
958	1716	73
959	1717	71
960	1718	69
961	1721	67
962	1722	66
963	1724	64
964	1725	62
965	1726	60
966	1727	58
967	1728	57
968	1729	55
969	1730	53
970	1731	51
971	1732	49
972	1733	48
973	1736	46
974	1738	44
975	1739	42
976	1740	40
977	1741	39
978	1742	37
979	1743	35
980	1744	33
981	1745	32
982	1746	30
983	1748	28
984	1750	26
985	1751	24
986	1752	23
987	1753	21
988	1754	19
989	1755	17
990	1756	15
991	1757	14
992	1758	12
993	1759	10
994	1760	8
995	1761	7
996	1764	5
997	1765	3
998	1767	1
999	1768	0
